2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 11]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 16]
2014-08-02 19:23:50 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 18]
2014-08-02 19:23:52 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 9]
2014-08-02 19:23:52 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 11]
2014-08-02 19:23:52 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 16]
2014-08-02 19:23:52 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 18]
2014-08-02 19:23:53 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 11]
2014-08-02 19:23:53 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 16]
2014-08-02 19:23:53 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 18]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 3549]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 11]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 16]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 18]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 11]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 16]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 18]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 11]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 16]
2014-08-02 19:24:01 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 18]
2014-08-02 19:24:04 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 9]
2014-08-02 19:24:04 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 11]
